,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ushuaia,40,AR,1600134035,93,-54.8,-68.3,35.6,17.22
1,puerto ayora,76,EC,1600134037,89,-0.74,-90.35,66.99,5.01
2,yellowknife,75,CA,1600134038,64,62.46,-114.35,46.4,8.05
3,kroya,93,ID,1600134039,67,-7.63,109.25,80.69,6.31
4,punta arenas,55,CL,1600133776,86,-53.15,-70.92,37.4,25.28
5,kavieng,85,PG,1600134041,75,-2.57,150.8,84.42,13.42
6,strezhevoy,100,RU,1600134043,76,60.73,77.59,51.8,8.95
7,wagar,67,SD,1600134044,62,16.15,36.2,82.44,11.7
8,tasiilaq,23,GL,1600134045,96,65.61,-37.64,22.35,3.58
9,cherskiy,32,RU,1600134047,55,68.75,161.3,51.6,9.4
10,acapulco,90,MX,1600134048,74,16.86,-99.89,84.2,9.17
11,tobol,100,KZ,1600134049,57,52.68,62.58,54.86,11.41
12,ancud,100,CL,1600134050,97,-41.87,-73.82,48.99,5.01
13,rocha,0,UY,1600134051,85,-34.48,-54.33,40.15,2.59
14,kodiak,42,US,1600134052,65,57.79,-152.41,56.44,11.41
15,qaanaaq,75,GL,1600133782,91,77.48,-69.36,26.89,6.62
16,guerrero negro,0,MX,1600134054,49,27.98,-114.06,79.88,15.59
17,mchinji,16,MW,1600134056,67,-13.8,32.88,62.6,4.03
18,broken hill,0,AU,1600134057,42,-31.95,141.43,64.4,12.75
19,jamestown,1,US,1600134061,71,42.1,-79.24,51.01,3.53
20,longyearbyen,75,SJ,1600134062,94,78.22,15.64,33.8,6.93
21,vaini,40,TO,1600134064,73,-21.2,-175.2,77.0,10.29
22,freeport,1,US,1600133799,37,40.66,-73.58,66.2,14.99
23,gornopravdinsk,100,RU,1600134066,96,60.05,69.9,49.96,2.95
24,mehamn,98,NO,1600133844,84,71.04,27.85,45.86,11.72
25,ribeira grande,100,PT,1600134068,64,38.52,-28.7,66.67,14.23
26,hasaki,40,JP,1600134069,74,35.73,140.83,82.0,13.87
27,codrington,8,AU,1600134071,69,-38.27,141.97,57.42,5.53
28,ruhengeri,0,RW,1600134072,70,-1.5,29.64,59.81,0.76
29,thompson,75,CA,1600134018,93,55.74,-97.86,39.2,4.65
30,awbari,0,LY,1600134074,35,26.59,12.78,75.15,5.39
31,coihaique,75,CL,1600134075,65,-45.58,-72.07,46.4,6.93
32,mataura,100,NZ,1600134076,75,-46.19,168.86,46.99,8.99
33,bontang,100,ID,1600134078,72,0.13,117.5,82.63,10.98
34,havelock,20,US,1600133995,94,34.88,-76.9,75.0,13.87
35,dikson,100,RU,1600134081,91,73.51,80.55,43.02,13.69
36,bredasdorp,100,ZA,1600134082,93,-34.53,20.04,39.2,1.12
37,palmer,75,US,1600134083,51,42.16,-72.33,60.01,13.87
38,rawson,85,AR,1600134085,43,-43.3,-65.1,61.77,13.73
